scale,pktgen_rate_pct,sent_Mpps,recv_Mpps,loss_pct,offered_Mbps,received_Mbps,cpu_now_ms_pct,cpu_send_pct,cpu_recv_pct,cpu_handle_pct,cpu_other_pct
0.1,0.3808,0.06,0.06,0,20.6,20.61,51.90,11.45,32.72,0.27,3.66
0.5,1.904,0.27,0.17,37.17,99.64,62.61,26.66,45.28,26.12,0.81,1.13
0.75,2.856,0.4,0.12,69.63,148.6,45.14,21.17,56.70,20.46,0.91,0.76
0.8,3.046,0.43,0.11,74.88,157.6,39.59,18.09,64.40,15.95,0.99,0.57
1,100,0.53,0.04,92.97,194.3,13.66,3.86,90.00,5.07,0.96,0.11
1.5,100,0.54,0.04,93.13,199.7,13.71,3.03,89.66,5.05,2.02,0.24
2,100,0.55,0.04,92.91,200.9,14.24,4.01,88.99,5.67,1.11,0.22
